date+survey,date+reported,adm0+name,adm0+pcode,adm1+name,adm1+pcode,adm2+pcode,adm2+name,affected+idps+ind,affected+idps+hh,adm1+origin+name,adm1+origin+pcode,adm2+origin+pcode,adm2+origin+name
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,250,50,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,120,24,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,45,9,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,80,16,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,150,30,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,145,29,Khartoum,SD01,SD01003,Bahri
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,390,78,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,320,64,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,105,21,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,220,24,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,375,75,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,60,12,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,315,63,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,45,9,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,380,76,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,85,17,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,210,42,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,180,36,Khartoum,SD01,SD01004,Sharg An Neel
2023-06-28 00:00:00,2023-06-30 00:00:00,Sudan,SDN,Aj Jazirah,SD15,SD15035,Al Kamlin,100,20,Khartoum,SD01,SD01006,Um Durman
